A,Total Population,Household Population,Number of Households,District
Barangay 841,2191,2191,564,Pandacan
Barangay 842,3941,3941,944,Pandacan
Barangay 843,5462,5462,1398,Pandacan
Barangay 844,5273,5273,1220,Pandacan
Barangay 845,1939,1939,500,Pandacan
Barangay 846,2002,2002,524,Pandacan
Barangay 847,3188,3164,796,Pandacan
Barangay 848,1295,1295,362,Pandacan
Barangay 849,2670,2670,648,Pandacan
Barangay 850,2257,2257,536,Pandacan
Barangay 851,1142,1142,286,Pandacan
Barangay 852,1084,1084,253,Pandacan
Barangay 853,569,569,137,Pandacan
Barangay 855,1760,1760,502,Pandacan
Barangay 856,2089,2089,539,Pandacan
Barangay 857,1860,1860,512,Pandacan
Barangay 858,580,580,152,Pandacan
Barangay 859,2355,2355,586,Pandacan
Barangay 860,1390,1390,323,Pandacan
Barangay 861,1013,1013,263,Pandacan
Barangay 862,2408,2408,629,Pandacan
Barangay 863,1565,1565,379,Pandacan
Barangay 864,783,783,211,Pandacan
Barangay 865,2481,2481,643,Pandacan
Barangay 867,3097,3097,779,Pandacan
Barangay 868,2447,2447,549,Pandacan
Barangay 870,1829,1829,407,Pandacan
Barangay 871,1989,1989,508,Pandacan
Barangay 872,2406,2406,547,Pandacan
Barangay 869,1761,1761,553,Pandacan
Barangay 649,59847,59819,14121,Port Area
Barangay 650,3857,3857,952,Port Area
Barangay 651,2967,2967,810,Port Area
Barangay 652,51,51,14,Port Area
Barangay 653,20,20,6,Port Area
Barangay 745,1696,1696,376,Santa Ana
Barangay 746,2066,2066,533,Santa Ana
Barangay 747,429,429,102,Santa Ana
Barangay 748,731,720,203,Santa Ana
Barangay 749,580,580,159,Santa Ana
Barangay 750,1075,1075,304,Santa Ana
Barangay 751,1559,1559,383,Santa Ana
Barangay 752,595,595,160,Santa Ana
Barangay 753,2222,2222,542,Santa Ana
Barangay 755,780,780,184,Santa Ana
Barangay 756,580,580,141,Santa Ana
Barangay 757,389,389,90,Santa Ana
Barangay 758,357,357,82,Santa Ana
Barangay 759,750,717,190,Santa Ana
Barangay 760,990,990,267,Santa Ana
Barangay 761,1307,1307,348,Santa Ana
Barangay 762,416,416,112,Santa Ana
Barangay 763,1535,1535,409,Santa Ana
Barangay 764,1717,1717,491,Santa Ana
Barangay 765,1744,1744,430,Santa Ana
Barangay 766,3057,3043,672,Santa Ana
Barangay 767,4523,4523,1006,Santa Ana
Barangay 768,1078,1078,264,Santa Ana
Barangay 769,1827,1827,430,Santa Ana
Barangay 770,7589,7579,1864,Santa Ana
Barangay 771,2224,2224,521,Santa Ana
Barangay 772,2671,2671,607,Santa Ana
Barangay 773,3108,3108,765,Santa Ana
Barangay 774,3427,3348,752,Santa Ana
Barangay 775,10660,10660,2417,Santa Ana
Barangay 776,4640,4640,1111,Santa Ana
Barangay 777,3280,3280,788,Santa Ana
Barangay 778,2360,2360,550,Santa Ana
Barangay 779,5256,5256,1249,Santa Ana
Barangay 780,2791,2791,755,Santa Ana
Barangay 781,3383,3383,847,Santa Ana
Barangay 782,1387,1387,361,Santa Ana
Barangay 783,1991,1991,504,Santa Ana
Barangay 784,2679,2679,655,Santa Ana
Barangay 785,936,936,224,Santa Ana
Barangay 786,1957,1957,434,Santa Ana
Barangay 787,1995,1995,490,Santa Ana
Barangay 788,1024,1024,225,Santa Ana
Barangay 789,1669,1669,357,Santa Ana
Barangay 790,3015,3015,637,Santa Ana
Barangay 791,1794,1794,408,Santa Ana
Barangay 792,2420,2420,622,Santa Ana
Barangay 793,1494,1494,372,Santa Ana
Barangay 794,669,669,175,Santa Ana
Barangay 795,546,546,123,Santa Ana
Barangay 796,841,841,198,Santa Ana
Barangay 797,710,710,166,Santa Ana
Barangay 798,1585,1585,341,Santa Ana
Barangay 799,495,495,132,Santa Ana
Barangay 800,1559,1559,390,Santa Ana
Barangay 801,674,674,159,Santa Ana
Barangay 802,1398,1386,337,Santa Ana
Barangay 803,1565,1565,381,Santa Ana
Barangay 804,1155,1155,285,Santa Ana
Barangay 805,993,993,226,Santa Ana
Barangay 806,1386,1373,352,Santa Ana
Barangay 807,2588,2588,563,Santa Ana
Barangay 866,2487,2467,659,Santa Ana
Barangay 873,846,846,214,Santa Ana
Barangay 874,2170,2170,553,Santa Ana
Barangay 875,1306,1306,291,Santa Ana
Barangay 876,626,626,172,Santa Ana
Barangay 877,1784,1784,412,Santa Ana
Barangay 878,1357,1357,369,Santa Ana
Barangay 879,925,925,222,Santa Ana
Barangay 880,1471,1471,436,Santa Ana
Barangay 881,2496,2496,628,Santa Ana
Barangay 882,1187,1187,287,Santa Ana
Barangay 883,1863,1863,406,Santa Ana
Barangay 884,2082,2082,510,Santa Ana
Barangay 885,479,479,115,Santa Ana
Barangay 886,475,475,120,Santa Ana
Barangay 887,717,717,164,Santa Ana
Barangay 888,807,807,199,Santa Ana
Barangay 889,902,902,219,Santa Ana
Barangay 890,1288,1288,334,Santa Ana
Barangay 891,1044,1044,274,Santa Ana
Barangay 892,1262,1262,304,Santa Ana
Barangay 893,881,881,204,Santa Ana
Barangay 894,2279,2279,562,Santa Ana
Barangay 895,597,597,147,Santa Ana
Barangay 896,1370,1370,301,Santa Ana
Barangay 897,2219,2219,565,Santa Ana
Barangay 898,7444,7444,1724,Santa Ana
Barangay 899,1575,1575,351,Santa Ana
Barangay 900,8082,8082,1994,Santa Ana
Barangay 901,1639,1639,378,Santa Ana
Barangay 902,1559,1559,406,Santa Ana
Barangay 903,3115,3115,772,Santa Ana
Barangay 904,1795,1795,385,Santa Ana
Barangay 905,6527,6527,1461,Santa Ana
Barangay 754,2434,2434,603,Santa Ana
Barangay 808,2154,2154,506,Santa Ana
Barangay 818-A,1994,1994,464,Santa Ana
