Unnamed: 0,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95,date
2022.9014,0.794059508451463,-28.8663255381649,30.4544445550679,-44.5675849402871,46.15570395719,2022-11-20
2022.9041,3.41997759251412,-27.3618513392477,34.2018065242759,-43.656767274079,50.4967224591072,2022-11-21
2022.9068,1.39850059715903,-29.5209140738191,32.3179152681372,-45.8886634994522,48.6856646937702,2022-11-22
2022.9096,0.256142686209231,-30.7199369034764,31.2322222758948,-47.1176829251154,47.6299682975339,2022-11-23
2022.9123,0.164639842866531,-30.8348205245092,31.1641002102422,-47.244943582217,47.5742232679501,2022-11-24
2022.9151,0.105824914465737,-30.9032900351175,31.114939864049,-47.3185239199242,47.5301737488557,2022-11-25
2022.9178,0.0680206706147019,-30.9450821757855,31.0811235170149,-47.3624271256473,47.4984684668767,2022-11-26
2022.9205,0.0437213831377279,-30.9710289063523,31.0584716726277,-47.389245959906,47.4766887261815,2022-11-27
2022.9233,0.0281026241905771,-30.9873282780605,31.0435335264417,-47.4059056262462,47.4621108746273,2022-11-28
2022.926,0.0180634149635429,-30.9976486769304,31.0337755068575,-47.4163748779215,47.4525017078486,2022-11-29
2022.9288,0.0116105513112376,-31.0042177128605,31.0274388154829,-47.4230054117406,47.446226514363,2022-11-30
2022.9315,0.0074628691209809,-31.0084133913023,31.0233391295443,-47.4272264978633,47.4421522361053,2022-12-01
2022.9342,0.0047968794955485,-31.0110992104757,31.0206929694668,-47.4299228141652,47.4395165731563,2022-12-02
2022.937,0.0030832716642617,-31.0128210108472,31.0189875541757,-47.4316489514056,47.4378154947341,2022-12-03
2022.9397,0.0019818225920541,-31.0139258446528,31.0178894898369,-47.4327555769809,47.436719222165,2022-12-04
2022.9425,0.001273848435706,-31.0146352172059,31.0171829140773,-47.4334656898004,47.4360133866719,2022-12-05
2022.9452,0.0008187866278529,-31.015090856759,31.0167284300147,-47.4339216351934,47.4355592084491,2022-12-06
2022.9479,0.0005262883111991,-31.0153835937701,31.0164361703925,-47.4342144985617,47.4352670751841,2022-12-07
2022.9507,0.0003382803004864,-31.015571700397,31.016248260998,-47.4344026573928,47.4350792179938,2022-12-08
2022.9534,0.0002174351192356,-31.0156925863214,31.0161274565598,-47.4345235648853,47.4349584351238,2022-12-09
